brand_name,generic_name,type,uses,side_effects,food_instruction,warnings
Levocet,Levocetirizine,Tablet,Allergies and hay fever,"Drowsiness, headache",After food,Less drowsy than cetirizine.
Sinarest,Paracetamol + Phenylephrine + Chlorpheniramine + Caffeine,Tablet,Cold flu and nasal congestion,"Drowsiness, dry mouth",After food,May cause drowsiness.
Vicks Action 500,Paracetamol + Phenylephrine + Caffeine,Tablet,Cold headache and body ache,"Insomnia, nervousness",After food,Avoid at night due to caffeine.
Alex,Chlorpheniramine + Dextromethorphan,Syrup,Dry cough and cold,"Drowsiness, dizziness",After food,Do not drive after taking.
Benadryl,Diphenhydramine,Syrup,Cough and cold,"Drowsiness, dry mouth",After food,Do not use with alcohol.
Grilinctus,Chlorpheniramine + Dextromethorphan + Phenylephrine,Syrup,Cough with cold and nasal congestion,"Drowsiness, nausea",After food,Measure dose with cup provided.
Ascoril LS,Ambroxol + Levosalbutamol + Guaifenesin,Syrup,Productive cough with mucus,"Nausea, tremors",After food,Do not use with cough suppressants.
Ascoril D,Dextromethorphan + Phenylephrine + Chlorpheniramine,Syrup,Dry cough with cold,"Drowsiness, nausea",After food,Do not drive after taking.
Chericof,Chlorpheniramine + Codeine + Menthol,Syrup,Persistent cough,"Drowsiness, constipation",After food,Prescription only. May be habit-forming.
Mucinac 600,Acetylcysteine,Tablet,Thick mucus and chest congestion,"Nausea, vomiting",After food,Dissolve in water before taking.
Deriphyllin,Etofylline + Theophylline,Tablet,Asthma and bronchospasm,"Nausea, palpitations",After food,Monitor heart rate. Avoid caffeine.
Asthalin,Salbutamol,Inhaler,Asthma and breathing difficulty,"Tremors, palpitations",N/A,Use as rescue inhaler. Do not overuse.
Budecort,Budesonide,Inhaler,Asthma prevention,"Throat irritation, oral thrush",N/A,Rinse mouth after each use.
Seroflo,Salmeterol + Fluticasone,Inhaler,Chronic asthma management,"Throat irritation, headache",N/A,Not for acute attacks. Rinse mouth after use.
Foracort,Formoterol + Budesonide,Inhaler,Asthma and COPD,"Headache, tremors",N/A,Rinse mouth after use.
Duolin,Ipratropium + Levosalbutamol,Respules,Acute bronchospasm and COPD,"Dry mouth, headache",N/A,For nebulizer use.
Metformin,Metformin,Tablet,Type 2 Diabetes,"Nausea, diarrhea, metallic taste",With food or after food,Take with meals to reduce stomach upset.
Glycomet,Metformin,Tablet,Type 2 Diabetes blood sugar control,"Nausea, stomach upset",With food,Do not skip meals.
Glycomet GP,Glimepiride + Metformin,Tablet,Type 2 Diabetes,"Low blood sugar, nausea",With food,Take with breakfast. Watch for hypoglycemia.
Glucobay,Acarbose,Tablet,Type 2 Diabetes post-meal sugar control,"Bloating, gas, diarrhea",With first bite of food,Take with the first bite of each main meal.
Januvia,Sitagliptin,Tablet,Type 2 Diabetes,"Headache, runny nose",With or without food,Can be taken regardless of meals.
Galvus Met,Vildagliptin + Metformin,Tablet,Type 2 Diabetes,"Nausea, headache",With food,Take with meals.
Amaryl,Glimepiride,Tablet,Type 2 Diabetes,"Low blood sugar, dizziness",With food,Take with breakfast. Monitor blood sugar.
Gliclazide,Gliclazide,Tablet,Type 2 Diabetes,"Low blood sugar, nausea",With food,Take 30 minutes before meals.
Insulin Mixtard,Insulin Human,Injection,Diabetes (Type 1 and Type 2),"Low blood sugar, weight gain",Before food,Inject 30 minutes before meals. Rotate injection sites.
Amlodipine,Amlodipine,Tablet,High blood pressure,"Swelling in ankles, headache",With or without food,Do not stop suddenly.
Amlong 5,Amlodipine,Tablet,High blood pressure and angina,"Swelling, dizziness",With or without food,Take at the same time daily.
Telmisartan,Telmisartan,Tablet,High blood pressure,"Dizziness, back pain",With or without food,Do not skip doses. Monitor BP regularly.
Telma 40,Telmisartan,Tablet,High blood pressure,"Dizziness, diarrhea",With or without food,Continue even if you feel fine.
Telma H,Telmisartan + Hydrochlorothiazide,Tablet,High blood pressure with fluid retention,"Dizziness, low potassium",With food,Monitor electrolytes. Stay hydrated.
Atenolol,Atenolol,Tablet,High blood pressure and heart rate control,"Fatigue, cold hands",With or without food,Do not stop suddenly.
Metoprolol,Metoprolol,Tablet,High blood pressure and heart rate,"Fatigue, dizziness",With food,Take with food. Do not stop abruptly.
Concor 5,Bisoprolol,Tablet,High blood pressure and heart failure,"Fatigue, dizziness",With or without food,Do not suddenly stop taking.
Losartan,Losartan,Tablet,High blood pressure,"Dizziness, fatigue",With or without food,Stay hydrated.
Ramipril,Ramipril,Capsule,High blood pressure and heart protection,"Dry cough, dizziness",With or without food,Report persistent cough to doctor.
Enalapril,Enalapril,Tablet,High blood pressure and heart failure,"Dry cough, dizziness",With or without food,Monitor kidney function.
Lasix,Furosemide,Tablet,Fluid retention and swelling,"Frequent urination, dizziness",After food,Take in the morning. Monitor potassium levels.
Dytor 10,Torsemide,Tablet,Fluid retention and hypertension,"Frequent urination, dizziness",After food,Take in the morning.
Aldactone,Spironolactone,Tablet,Fluid retention and heart failure,"High potassium, dizziness",After food,Avoid potassium-rich foods.
Ecosprin 75,Aspirin,Tablet,Blood thinner to prevent heart attack,"Stomach irritation, bleeding risk",After food,Do not crush. Avoid with blood thinner medicines.
Ecosprin AV,Aspirin + Atorvastatin,Capsule,Heart protection and cholesterol,"Stomach irritation, muscle pain",After food (night),Take at night.
Clopidogrel,Clopidogrel,Tablet,Prevents blood clots,"Bleeding, bruising",With or without food,Report unusual bleeding to doctor.
Clopitab A,Clopidogrel + Aspirin,Tablet,Prevents heart attack and stroke,"Bleeding, stomach pain",After food,Avoid injury. Report unusual bleeding.
Atorvastatin,Atorvastatin,Tablet,High cholesterol,"Muscle pain, headache",After food (night),Take at night. Report unexplained muscle pain.
Atorva 10,Atorvastatin,Tablet,High cholesterol and heart protection,"Muscle pain, nausea",After food (night),Take at bedtime.
Rosuvastatin,Rosuvastatin,Tablet,High cholesterol,"Muscle pain, headache",After food (night),Take at night. Avoid grapefruit.
Crestor,Rosuvastatin,Tablet,High cholesterol and cardiovascular risk,"Muscle pain, weakness",After food (night),Report muscle pain immediately.
Thyronorm,Levothyroxine,Tablet,Hypothyroidism (low thyroid),"Weight changes, palpitations",Before food (empty stomach),Take 30-60 min before breakfast on empty stomach.
Eltroxin,Levothyroxine,Tablet,Thyroid hormone replacement,"Palpitations, insomnia",Before food (empty stomach),Take consistently at same time. Avoid calcium/iron supplements nearby.
Neomercazole,Carbimazole,Tablet,Hyperthyroidism (overactive thyroid),"Rash, joint pain, sore throat",After food,Report sore throat or fever immediately.
Shelcal 500,Calcium + Vitamin D3,Tablet,Calcium and vitamin D supplement,"Constipation, gas",After food,Space 2 hours away from thyroid medicine.
Calcimax,Calcium + Vitamin D3,Tablet,Bone health and calcium supplement,"Constipation",After food,Take with meals for better absorption.
Zincovit,Multivitamin + Multimineral,Tablet,Nutritional supplement,"Nausea, stomach upset",After food,Take once daily.
Becosules,B-Complex + Vitamin C,Capsule,Vitamin B and C supplement,"Nausea, bright yellow urine",After food,Yellow urine is normal and harmless.
Limcee,Ascorbic Acid (Vitamin C),Tablet,Vitamin C supplement and immunity,"Stomach upset at high doses",After food,Chewable tablet. Do not exceed recommended dose.
Revital,Multivitamin + Ginseng,Capsule,General health and energy booster,"Insomnia, stomach upset",After food (morning),Take in the morning to avoid sleep issues.
Otrivin,Xylometazoline,Nasal Drops,Nasal congestion,"Burning, dryness",N/A,Do not use for more than 7 days continuously.
Nasivion,Oxymetazoline,Nasal Drops,Blocked nose and nasal congestion,"Sneezing, dryness",N/A,Max 3 days use. Do not overuse.
Betadine,Povidone Iodine,Gargle/Ointment,Throat infection and wound care,"Staining, irritation",N/A,For external or gargle use only. Do not swallow.
Candid B,Clotrimazole + Beclometasone,Cream,Fungal skin infections with inflammation,"Burning, itching at site",N/A,Apply thin layer. Do not use on face for long.
Clobetasol,Clobetasol,Cream,Severe skin inflammation and eczema,"Skin thinning, stretch marks",N/A,Use for short duration only. Avoid on face.
Betnovate,Betamethasone,Cream,Skin inflammation and eczema,"Skin thinning, irritation",N/A,Do not use for more than 2 weeks without doctor advice.
Panderm,Clobetasol + Neomycin + Miconazole,Cream,Skin infections with inflammation,"Burning, skin thinning",N/A,For short-term use only.
Soframycin,Framycetin,Cream,Minor wound and burn infections,"Mild irritation",N/A,For external use only.
Moov,Diclofenac Diethylamine,Gel,Muscle and joint pain relief,"Skin rash, burning sensation",N/A,For external use only. Do not apply on open wounds.
Volini,Diclofenac,Spray/Gel,Muscle pain and sprains,"Skin irritation",N/A,For external use only. Avoid contact with eyes.
Iodex,Methyl Salicylate + Menthol,Balm,Body ache and muscle pain,"Skin irritation",N/A,For external use only.
T-Bact,Mupirocin,Ointment,Bacterial skin infections,"Burning, stinging",N/A,Apply 2-3 times daily. For external use only.
Fucidin,Fusidic Acid,Cream,Bacterial skin infections,"Mild irritation, rash",N/A,Complete the full course even if skin looks better.
Emla,Lidocaine + Prilocaine,Cream,Local numbing for skin procedures,"Skin redness, mild swelling",N/A,Apply 1 hour before procedure. Cover with bandage.
Metrogyl DG,Metronidazole + Diloxanide,Tablet,Amoebic dysentery,"Nausea, metallic taste",After food,Avoid alcohol.
Normet,Nitazoxanide,Tablet,Diarrhea and intestinal infections,"Stomach pain, headache",After food,Complete the full course.
Eldoper,Loperamide,Capsule,Acute diarrhea,"Constipation, dizziness",After food,For short-term use only. Stay hydrated.
Econorm,Saccharomyces Boulardii,Capsule,Probiotic for diarrhea,"Gas, bloating",With or without food,Can be opened and mixed with water.
Vizylac,Lactic Acid Bacillus,Capsule,Probiotic supplement,"Mild bloating",After food,Take with or after antibiotics.
ORS,Oral Rehydration Salts,Powder,Dehydration from diarrhea and vomiting,"None",With water,Dissolve in 1 litre of clean water. Use within 24 hours.
Electral,Oral Rehydration Salts,Powder,Rehydration in diarrhea,"None",With water,Dissolve in 1 litre water. Drink small sips frequently.
Domperidone,Domperidone,Tablet,Nausea and vomiting,"Dry mouth, headache",Before food,Take 15-30 min before meals.
Domstal,Domperidone,Tablet,Nausea vomiting and bloating,"Headache, dry mouth",Before food,Take before meals.
Emeset 4,Ondansetron,Tablet,Severe nausea and vomiting,"Headache, constipation",Before food,Can be kept under tongue for faster effect.
Perinorm,Metoclopramide,Tablet,Nausea vomiting and gastric motility,"Drowsiness, restlessness",Before food,Avoid long-term use.
Dulcolax,Bisacodyl,Tablet,Constipation,"Stomach cramps, diarrhea",Before food (night),Take at bedtime. Effect in 6-12 hours.
Cremaffin,Liquid Paraffin + Milk of Magnesia + Sodium Picosulfate,Syrup,Constipation relief,"Stomach cramps",Before food (night),Shake well. Take at bedtime.
Isabgol,Psyllium Husk,Powder,Constipation and digestive health,"Bloating, gas",After food,Mix in water and drink immediately. Follow with more water.
Duphalac,Lactulose,Syrup,Chronic constipation,"Bloating, flatulence",With or without food,Can be mixed with juice. Effects in 1-2 days.
Drotin DS,Drotaverine,Tablet,Abdominal cramps and spasms,"Headache, dizziness",After food,Avoid if you have low blood pressure.
Buscopan,Hyoscine Butylbromide,Tablet,Stomach and intestinal cramps,"Dry mouth, dizziness",After food,May cause dryness. Drink water.
Cyclopam,Dicyclomine + Paracetamol,Tablet,Abdominal pain and spasms,"Dry mouth, drowsiness",After food,May cause blurred vision.
Razo 20,Rabeprazole,Tablet,Acidity and peptic ulcers,"Headache, nausea",Before food,Take 30 min before food.
Nexpro 40,Esomeprazole,Tablet,GERD and acid reflux,"Headache, diarrhea",Before food,Swallow whole. Take before breakfast.
Ganaton,Itopride,Tablet,Bloating and indigestion,"Diarrhea, headache",Before food,Take 30 minutes before meals.
Unienzyme,Fungal Diastase + Papain,Tablet,Digestive enzyme supplement,"Mild stomach upset",After food,Take after meals to aid digestion.
Aristozyme,Fungal Diastase + Pepsin,Syrup,Indigestion and loss of appetite,"None significant",After food,Shake well before use.
Liv 52,Herbal hepatoprotective,Tablet,Liver protection and appetite,"Mild gastric discomfort",After food,Herbal supplement. Safe for long-term use.
Ursocol 300,Ursodeoxycholic Acid,Tablet,Gallstones and liver disease,"Diarrhea, nausea",After food,Take with food. Complete the full course.
Udiliv 300,Ursodeoxycholic Acid,Tablet,Gallstone dissolution and liver health,"Mild diarrhea",After food,Take as prescribed.
Wysolone,Prednisolone,Tablet,Inflammation allergies and autoimmune conditions,"Weight gain, mood changes, high sugar",After food,Do not stop suddenly. Taper as directed by doctor.
Omnacortil,Prednisolone,Tablet,Severe allergies and inflammation,"Weight gain, increased appetite",After food,Take with food. Do not stop abruptly.
Deflazacort,Deflazacort,Tablet,Autoimmune conditions and allergies,"Weight gain, acidity",After food,Taper gradually under doctor supervision.
Dexona,Dexamethasone,Tablet,Severe inflammation and allergic reactions,"Weight gain, high blood sugar",After food,Short-term use only unless prescribed otherwise.
Medrol,Methylprednisolone,Tablet,Inflammatory and autoimmune conditions,"Stomach upset, mood changes",After food,Do not stop abruptly.
Hydroxychloroquine,Hydroxychloroquine,Tablet,Rheumatoid arthritis and lupus,"Nausea, vision changes",After food,Get regular eye checkups.
Folvite,Folic Acid,Tablet,Folic acid deficiency and pregnancy support,"Nausea, bloating",After food,Essential during pregnancy.
Feronia XT,Iron + Folic Acid,Tablet,Iron deficiency anemia,"Constipation, dark stools",After food,Dark stools are normal. Take with vitamin C for better absorption.
Orofer XT,Iron + Folic Acid + Zinc,Tablet,Anemia and nutritional supplement,"Constipation, nausea",After food,Avoid tea and coffee around dose time.
Dydroboon,Dydrogesterone,Tablet,Hormonal support in pregnancy,"Headache, nausea",After food,Take as prescribed. Do not self-adjust dose.
Duphaston,Dydrogesterone,Tablet,Menstrual irregularities and pregnancy support,"Headache, breast tenderness",After food,Take exactly as prescribed.
Susten,Progesterone,Capsule,Hormonal support in pregnancy and IVF,"Drowsiness, dizziness",After food (night),Take at night as it may cause drowsiness.
Deviry,Medroxyprogesterone,Tablet,Menstrual irregularities,"Nausea, breast tenderness",After food,Take for the prescribed duration only.
Cabgolin,Cabergoline,Tablet,High prolactin levels,"Nausea, dizziness",After food,Take with food to reduce nausea.
Clomid,Clomiphene,Tablet,Ovulation induction for infertility,"Hot flashes, mood swings",After food,Take only under doctor supervision with monitoring.
Unwanted 72,Levonorgestrel,Tablet,Emergency contraception,"Nausea, irregular bleeding",With or without food,For emergency use only. Not a regular contraceptive.
I-Pill,Levonorgestrel,Tablet,Emergency contraception,"Nausea, fatigue",With or without food,Take within 72 hours. Not for regular use.
Deriphyllin Retard,Etofylline + Theophylline,Tablet,Asthma and chronic bronchitis,"Nausea, palpitations",After food,Swallow whole. Monitor heart rate.
Montek LC,Montelukast + Levocetirizine,Tablet,Allergic rhinitis and asthma,"Drowsiness, headache",After food (night),Take at night.
Wartec,Podophyllotoxin,Cream,Genital warts,"Burning, irritation",N/A,Apply carefully. Avoid surrounding skin.
Acyclovir,Acyclovir,Tablet,Herpes and viral infections,"Headache, nausea",After food,Stay well hydrated. Complete full course.
Valacyclovir,Valacyclovir,Tablet,Herpes simplex and herpes zoster,"Headache, nausea",With or without food,Drink plenty of water.
Fluconazole,Fluconazole,Capsule,Fungal infections,"Nausea, headache, rash",With or without food,May interact with other medicines. Inform your doctor.
Itraconazole,Itraconazole,Capsule,Fungal infections,"Nausea, diarrhea",After food,Take immediately after a meal for best absorption.
Terbinafine,Terbinafine,Tablet,Fungal infections of skin and nails,"Stomach upset, taste changes",With or without food,Complete the full course. May take weeks.
Albendazole,Albendazole,Tablet,Worm infections,"Stomach pain, headache",After food,Single dose for most worm infections.
Zentel,Albendazole,Tablet,Intestinal worm infections,"Nausea, abdominal pain",After food,Chew before swallowing.
Ivermectin,Ivermectin,Tablet,Parasitic infections,"Dizziness, nausea",After food,Take on empty stomach with water.
Mebendazole,Mebendazole,Tablet,Pinworm and roundworm infections,"Stomach pain, diarrhea",After food,Chew or crush before swallowing.
Alprazolam,Alprazolam,Tablet,Anxiety and panic disorders,"Drowsiness, dependence",After food,Prescription only. Habit-forming. Do not stop suddenly.
Clonazepam,Clonazepam,Tablet,Seizures and anxiety,"Drowsiness, dizziness",After food,Do not drive. Do not stop abruptly. Habit-forming.
Etizolam,Etizolam,Tablet,Anxiety and insomnia,"Drowsiness, weakness",After food (night),Short-term use only. Habit-forming.
Zolpidem,Zolpidem,Tablet,Insomnia (short-term),"Drowsiness, dizziness",Before sleep,Take just before bed. Do not drive. Habit-forming.
Amitriptyline,Amitriptyline,Tablet,Depression and nerve pain,"Drowsiness, dry mouth, weight gain",After food (night),Takes 2-4 weeks to show effect. Do not stop suddenly.
Fluoxetine,Fluoxetine,Capsule,Depression and OCD,"Nausea, insomnia, anxiety initially",After food (morning),Takes weeks to work. Do not stop abruptly.
Escitalopram,Escitalopram,Tablet,Depression and anxiety,"Nausea, insomnia, sexual dysfunction",After food,Takes 2-4 weeks. Do not stop suddenly.
Sertraline,Sertraline,Tablet,Depression panic and OCD,"Nausea, diarrhea, insomnia",After food,Takes 2-4 weeks. Do not stop abruptly.
Pregabalin,Pregabalin,Capsule,Nerve pain and epilepsy,"Drowsiness, dizziness, weight gain",After food,Do not stop suddenly. May cause withdrawal.
Gabapentin,Gabapentin,Capsule,Nerve pain and seizures,"Drowsiness, dizziness",After food,Do not stop abruptly.
Carbamazepine,Carbamazepine,Tablet,Epilepsy and nerve pain,"Drowsiness, nausea, rash",After food,Regular blood tests needed. Do not stop suddenly.
Valproic Acid,Valproic Acid,Tablet,Epilepsy and mood disorders,"Weight gain, tremor, hair loss",After food,Regular blood tests needed. Avoid in pregnancy.
Phenytoin,Phenytoin,Tablet,Epilepsy and seizures,"Gum overgrowth, dizziness",After food,Maintain good oral hygiene. Do not stop suddenly.
Levetiracetam,Levetiracetam,Tablet,Epilepsy,"Drowsiness, mood changes",After food,Do not stop suddenly.
Citicoline,Citicoline,Tablet,Brain health and stroke recovery,"Insomnia, headache",After food,Take as prescribed.
Piracetam,Piracetam,Tablet,Cognitive disorders and vertigo,"Insomnia, nervousness",After food,Take as directed.
Vertin,Betahistine,Tablet,Vertigo and Menieres disease,"Nausea, headache",After food,Take regularly as prescribed.
Stugeron,Cinnarizine,Tablet,Vertigo and motion sickness,"Drowsiness, weight gain",After food,May cause drowsiness.
Nicip,Nimesulide,Tablet,Pain and inflammation,"Stomach upset, rash",After food,Avoid in liver disease. Short-term use only.
Nimesulide,Nimesulide,Tablet,Pain fever and inflammation,"Stomach pain, rash",After food,Banned in some countries for liver risk. Short-term only.
Piroxicam,Piroxicam,Capsule,Arthritis and chronic pain,"Stomach upset, dizziness",After food,Take with food. Long-term use needs monitoring.
Etoricoxib,Etoricoxib,Tablet,Arthritis and acute pain,"Stomach upset, swelling",After food,Use lowest dose for shortest time.
Arcoxia,Etoricoxib,Tablet,Osteoarthritis and gout,"Headache, swelling",After food,Monitor blood pressure.
Colchicine,Colchicine,Tablet,Gout attacks,"Nausea, diarrhea",After food,Take at first sign of gout attack.
Febustat,Febuxostat,Tablet,Chronic gout and high uric acid,"Nausea, joint pain initially",After food,May worsen gout initially. Continue as prescribed.
Allopurinol,Allopurinol,Tablet,High uric acid and gout prevention,"Rash, nausea",After food,Drink plenty of water. Report any rash immediately.
Shelcal HD,Calcium + Vitamin D3 high dose,Tablet,Severe calcium and vitamin D deficiency,"Constipation, bloating",After food,Take with meals. Space from other medicines.
Calcitriol,Calcitriol,Capsule,Severe vitamin D deficiency and bone disorders,"Nausea, weakness",After food,Monitor calcium levels regularly.
Arachitol,Vitamin D3 (Cholecalciferol),Injection/Sachet,Severe vitamin D deficiency,"Nausea, constipation at high doses",After food,Usually given as single weekly or monthly dose.
Uprise D3,Cholecalciferol,Capsule,Vitamin D deficiency,"Nausea",After food,Usually taken once weekly.
Neurobion Forte,Vitamin B1 + B6 + B12,Tablet,Nerve health and vitamin B supplement,"Mild stomach upset",After food,Take once daily.
Methylcobalamin,Methylcobalamin,Tablet,Vitamin B12 deficiency and nerve health,"Nausea, headache",After food,Important for vegetarians and elderly.
Mecobalamin,Mecobalamin + Alpha Lipoic Acid + Folic Acid,Capsule,Nerve pain and diabetic neuropathy,"Mild stomach upset",After food,Take regularly for nerve protection.
